S1Temp,S2Temp,S3Temp,S1Light,S2Light,S3Light,CO2,PIR1,PIR2,Persons,DateTime,PIR,MeanTemp,MeanLight
19.9,19.67,19.49,242,68,106,390.0,0,0,1,11/01/2021 10:53:33,0,19.686666666666667,138.66666666666666
19.9,19.69,19.56,242,66,106,390.0,0,0,1,11/01/2021 10:54:04,0,19.71666666666667,138.0
19.99,19.66,19.44,242,68,106,390.0,0,0,1,11/01/2021 10:54:34,0,19.69666666666667,138.66666666666666
19.98,19.73,19.47,242,68,106,390.0,0,0,1,11/01/2021 10:55:05,0,19.726666666666667,138.66666666666666
19.95,19.72,19.51,242,68,108,390.0,0,0,1,11/01/2021 10:55:36,0,19.72666666666667,139.33333333333334
19.98,19.73,19.49,242,68,108,390.0,0,0,1,11/01/2021 10:56:06,0,19.733333333333334,139.33333333333334
19.91,19.73,19.55,240,68,108,390.0,1,0,1,11/01/2021 10:56:37,1,19.73,138.66666666666666
19.98,19.77,19.52,242,68,108,390.0,0,0,1,11/01/2021 10:57:07,0,19.756666666666664,139.33333333333334
19.98,19.76,19.53,244,70,112,390.0,0,0,1,11/01/2021 10:57:38,0,19.756666666666668,142.0
19.9,19.72,19.51,202,68,114,390.0,1,1,1,11/01/2021 10:58:09,1,19.709999999999997,128.0
20.05,19.74,19.51,244,70,114,390.0,1,1,1,11/01/2021 10:58:39,1,19.766666666666666,142.66666666666666
19.98,19.81,19.52,246,70,114,390.0,1,0,1,11/01/2021 10:59:10,1,19.77,143.33333333333334
20.05,19.79,19.57,246,70,114,390.0,1,0,1,11/01/2021 10:59:41,1,19.803333333333335,143.33333333333334
19.99,19.77,19.54,246,70,114,390.0,1,0,1,11/01/2021 11:00:11,1,19.766666666666666,143.33333333333334
19.98,19.81,19.59,246,70,116,390.0,1,0,1,11/01/2021 11:00:42,1,19.793333333333333,144.0
20.0,19.79,19.62,246,70,116,390.0,1,0,1,11/01/2021 11:01:13,1,19.80333333333333,144.0
19.97,19.85,19.57,244,70,116,395.0,0,0,1,11/01/2021 11:01:43,0,19.796666666666667,143.33333333333334
